UC_name,neighbour
DHOK FARMAN ALI,PURANA QILLA
CHAMAN ZAR COLONY,CITY-46
CHAMAN ZAR COLONY,MILLAT COLONY
CITY-46,CHAMAN ZAR COLONY
CITY-46,GANGAL
CITY-46,MILLAT COLONY
RAWALPINDI CANTT-1,CHAK JALAL DIN
RAWALPINDI CANTT-1,Dhoke Mangtal
RAWALPINDI CANTT-1,HAZARA COLONY
RAWALPINDI CANTT-1,KHYBAN SIR SYED(NORTH)
RAWALPINDI CANTT-1,KHYBAN SIR SYED(SOUTH)
RAWALPINDI CANTT-1,PIR WADHI
RAWALPINDI CANTT-1,RATTA AMRAL
RAWALPINDI CANTT-1,RAWALPINDI CANTT-2
RAWALPINDI CANTT-2,ASGHAR MALL SCHEME
RAWALPINDI CANTT-2,DHOK NAJJU
RAWALPINDI CANTT-2,Dhok Ratta
RAWALPINDI CANTT-2,Dhoke Mangtal
RAWALPINDI CANTT-2,NEW KATARIAN
RAWALPINDI CANTT-2,PIR WADHI
RAWALPINDI CANTT-2,RAWALPINDI CANTT-1
RAWALPINDI CANTT-3,BANGISH COLONY
RAWALPINDI CANTT-3,DHOK BABU IRFAN
RAWALPINDI CANTT-3,DHOK HASSU(SOUTH)
RAWALPINDI CANTT-3,DHOK MANGTAL
RAWALPINDI CANTT-3,FAUJI COLONY
RAWALPINDI CANTT-3,Jhanda Chichi
RAWALPINDI CANTT-3,MUHALLA EIDGAH
RAWALPINDI CANTT-3,Mohan Pura
RAWALPINDI CANTT-3,PINDORA
RAWALPINDI CANTT-3,SAIDPUR SCHEME
Dhok Ratta,AFANDI COLONY
Dhok Ratta,ASGHAR MALL SCHEME
Dhok Ratta,Ganj Mandi
Dhok Ratta,Mohan Pura
Dhok Ratta,NEW KATARIAN
Dhok Ratta,Purana Qila
Dhok Ratta,RAWALPINDI CANTT-2
Dhok Ratta,Ratta Amral
Dhok Ratta,SAIDPUR SCHEME
Purana Qila,AFANDI COLONY
Purana Qila,ASGHAR MALL SCHEME
Purana Qila,DHOK KALA KHAN
Purana Qila,Dhok Ratta
Purana Qila,Dhoke Mangtal
Purana Qila,Ganj Mandi
Purana Qila,Waris Khan
Jhanda Chichi,BANGISH COLONY
Jhanda Chichi,CHAH SULTAN
Jhanda Chichi,Dhaman Syedan
Jhanda Chichi,Dhoke Chiragh Din
Jhanda Chichi,FAUJI COLONY
Jhanda Chichi,KARTARPURA
Jhanda Chichi,KHANA DAK
Jhanda Chichi,KHURRAM COLONY
Jhanda Chichi,MUSLIM TOWN (WEST)
Jhanda Chichi,PINDORA
Jhanda Chichi,RAWALPINDI CANTT-3
Waris Khan,AMARPURA
Waris Khan,CHAH SULTAN
Waris Khan,DHOK HUKAM DAD
Waris Khan,DHOK KALA KHAN
Waris Khan,DHOK KASHMIRIAN
Waris Khan,Dhoke Mangtal
Waris Khan,Purana Qila
Waris Khan,RAWALPINDI CANTT-8
Waris Khan,RAWALPINDI CANTT-9
RAWALPINDI CANTT-8,BANNI
RAWALPINDI CANTT-8,CHAH SULTAN
RAWALPINDI CANTT-8,KARTARPURA
RAWALPINDI CANTT-8,Khurram Colony
RAWALPINDI CANTT-8,MUHALLA AMAMBARA
RAWALPINDI CANTT-8,RAWALPINDI CANTT-9
RAWALPINDI CANTT-8,Waris Khan
RAWALPINDI CANTT-9,DHOK ALI AKBAR
RAWALPINDI CANTT-9,Dhoke Mangtal
RAWALPINDI CANTT-9,GANJ MANDI
RAWALPINDI CANTT-9,MOHANPURA
RAWALPINDI CANTT-9,MUHALLA AMAMBARA
RAWALPINDI CANTT-9,RAWALPINDI CANTT-8
RAWALPINDI CANTT-9,Waris Khan
DHOK ALI AKBAR,DHOK DALAL
DHOK ALI AKBAR,DHOK FARMAN ALI
DHOK ALI AKBAR,DHOK KALA KHAN
DHOK ALI AKBAR,GANJ MANDI
DHOK ALI AKBAR,Khurram Colony
DHOK ALI AKBAR,MUHALLA AMAMBARA
DHOK ALI AKBAR,PURANA QILLA
DHOK ALI AKBAR,RAWALPINDI CANTT-9
DHOK ALI AKBAR,SHAH CHAN CHARAGH
KHYBAN SIR SYED(SOUTH),DHOK NAJJU
KHYBAN SIR SYED(SOUTH),KHYBAN SIR SYED(NORTH)
KHYBAN SIR SYED(SOUTH),PIR WADHI
KHYBAN SIR SYED(SOUTH),RAWALPINDI CANTT-1
