Year,Week,UC_name,cases,week_start
2022,22,ASGHAR MALL SCHEME,0,2022-05-30
2022,23,ASGHAR MALL SCHEME,0,2022-06-06
2022,24,ASGHAR MALL SCHEME,0,2022-06-13
2022,25,ASGHAR MALL SCHEME,0,2022-06-20
2022,26,ASGHAR MALL SCHEME,0,2022-06-27
2022,27,ASGHAR MALL SCHEME,0,2022-07-04
2022,28,ASGHAR MALL SCHEME,0,2022-07-11
2022,29,ASGHAR MALL SCHEME,0,2022-07-18
2022,30,ASGHAR MALL SCHEME,0,2022-07-25
2022,31,ASGHAR MALL SCHEME,0,2022-08-01
2022,32,ASGHAR MALL SCHEME,0,2022-08-08
2022,33,ASGHAR MALL SCHEME,0,2022-08-15
2022,34,ASGHAR MALL SCHEME,0,2022-08-22
2022,35,ASGHAR MALL SCHEME,0,2022-08-29
2022,36,ASGHAR MALL SCHEME,0,2022-09-05
2022,37,ASGHAR MALL SCHEME,0,2022-09-12
2022,38,ASGHAR MALL SCHEME,0,2022-09-19
2022,39,ASGHAR MALL SCHEME,2,2022-09-26
2022,40,ASGHAR MALL SCHEME,3,2022-10-03
2022,41,ASGHAR MALL SCHEME,1,2022-10-10
2022,42,ASGHAR MALL SCHEME,0,2022-10-17
2022,43,ASGHAR MALL SCHEME,0,2022-10-24
2022,44,ASGHAR MALL SCHEME,1,2022-10-31
2022,45,ASGHAR MALL SCHEME,0,2022-11-07
2022,46,ASGHAR MALL SCHEME,0,2022-11-14
2022,47,ASGHAR MALL SCHEME,0,2022-11-21
2022,48,ASGHAR MALL SCHEME,0,2022-11-28
2022,49,ASGHAR MALL SCHEME,0,2022-12-05
2022,50,ASGHAR MALL SCHEME,0,2022-12-12
2022,51,ASGHAR MALL SCHEME,0,2022-12-19
2022,52,ASGHAR MALL SCHEME,0,2022-12-26
2023,1,ASGHAR MALL SCHEME,0,2023-01-02
2023,2,ASGHAR MALL SCHEME,0,2023-01-09
2023,3,ASGHAR MALL SCHEME,0,2023-01-16
2023,4,ASGHAR MALL SCHEME,0,2023-01-23
2023,5,ASGHAR MALL SCHEME,0,2023-01-30
2023,6,ASGHAR MALL SCHEME,0,2023-02-06
2023,7,ASGHAR MALL SCHEME,0,2023-02-13
2023,8,ASGHAR MALL SCHEME,0,2023-02-20
2023,9,ASGHAR MALL SCHEME,0,2023-02-27
2023,10,ASGHAR MALL SCHEME,0,2023-03-06
2023,11,ASGHAR MALL SCHEME,0,2023-03-13
2023,12,ASGHAR MALL SCHEME,0,2023-03-20
2023,13,ASGHAR MALL SCHEME,0,2023-03-27
2023,14,ASGHAR MALL SCHEME,0,2023-04-03
2023,15,ASGHAR MALL SCHEME,0,2023-04-10
2023,16,ASGHAR MALL SCHEME,0,2023-04-17
2023,17,ASGHAR MALL SCHEME,0,2023-04-24
2023,18,ASGHAR MALL SCHEME,0,2023-05-01
2023,19,ASGHAR MALL SCHEME,0,2023-05-08
2023,20,ASGHAR MALL SCHEME,0,2023-05-15
